	TF	Target	Sources	PMIDs	N	Factor / Gene Name
2740	WT1	IRF8	Fastforward|TRRUST	20237505|20237505	1	WT1 / IRF8
2741	RB1	HBP1	TRRUST	16966377	1	RB1 / HBP1
2742	E2F4	RAD51	HTRI|TRRUST	11799066|20133863|21701264|17001309	4	E2F4 / RAD51
2743	MYC	CEBPD	Fastforward	20426839	1	MYC / CEBPD
2744	YY1	SMAD7	TRRUST	24369345	1	YY1 / SMAD7
2745	CEBPB	SOX6	Fastforward	17433257	1	CEBPB / SOX6
2746	GLI1	TSC22D1	TFacTs	|11719506	2	GLI1 / TSC22D1
2747	TFAP2A	SP1	HTRI	1634545	1	TFAP2A / SP1
2748	STAT6	CNR1	TRRUST	18156315	1	STAT6 / CNR1
2749	HNF4A	ABCG8	TRRUST	21123766	1	HNF4A / ABCG8
2750	E2F4	SLC2A13	ORegAnno	22951020	1	E2F4 / SLC2A13
2751	HOXB7	EGFR	TRRUST	21690342	1	HOXB7 / EGFR
2752	SP1	BSG	HTRI|TRRUST	20384626|11814679|20384626|20629990	3	SP1 / BSG
2753	KMT2A	HOXC13	Fastforward	19922474	1	KMT2A / HOXC13
2754	MEF2B	JUN	Fastforward	7760790|8798771|7768982	3	MEF2B / JUN
2755	EP300	SLC2A2	TFacTs	|11978637	2	EP300 / SLC2A2
2756	AHR	CYP1A2	HTRI|TRRUST	17785579|21357676	2	AHR / CYP1A2
2757	TP53	PRG3	TRRUST	12135761	1	TP53 / PRG3
2758	STAT3	NOS3	HTRI	16887796	1	STAT3 / NOS3
2759	TP53	DDB1	TRRUST	16357511|19382146	2	TP53 / DDB1
2760	STAT3	TP53	Fastforward|TRRUST	18941194|20043094	2	STAT3 / TP53
2761	NFIC	POLE2	TRRUST	11433027	1	NFIC / POLE2
2762	SRF	CREB1	TRRUST	1531519	1	SRF / CREB1
2763	MYC	HLA-F	TRRUST	8206526	1	MYC / HLA-F
2764	CIITA	HLA-DOB	TRRUST	11823510	1	CIITA / HLA-DOB
2765	PITX1	LHB	TRRUST	19106114	1	PITX1 / LHB
2766	NFKB1	CXCL2	TRRUST	17363596	1	NFKB1 / CXCL2
2767	ZNF160	TLR4	TRRUST	19846881	1	ZNF160 / TLR4
2768	SP1	PAEP	HTRI	11369448	1	SP1 / PAEP
2769	FOXP3	NFATC1	Fastforward	19564342	1	FOXP3 / NFATC1
2770	NONO	MIA	TRRUST	23672612|24349210	2	NONO / MIA
2771	E2F1	PIN1	TRRUST	20376080	1	E2F1 / PIN1
2772	MYCN	BIRC5	TRRUST	22703967	1	MYCN / BIRC5
2773	STAT3	FAS	TRRUST	15223310|16651438|22313388	3	STAT3 / FAS
2774	ATF6	SRF	TRRUST	9271374	1	ATF6 / SRF
2775	YBX1	EGFR	HTRI|TRRUST	17875215|17875215|19648825	2	YBX1 / EGFR
2776	PTMA	IDO1	TRRUST	21176371|21575365	2	PTMA / IDO1
2777	SP1	HYAL1	TRRUST	18718911	1	SP1 / HYAL1
2778	SPI1	IL12B	TRRUST	11254706	1	SPI1 / IL12B
2779	EOMES	IFNG	TRRUST	20056084	1	EOMES / IFNG
2780	AR	NDRG1	TRRUST	17075604	1	AR / NDRG1
2781	TP53	KLF2	TRRUST	23202365	1	TP53 / KLF2
2782	YY1	COX6A1	TRRUST	10773445	1	YY1 / COX6A1
2783	E2F2	MAP3K5	HTRI|TFacTs|TRRUST	16512785||16512785|16512785	2	E2F2 / MAP3K5
2784	SP1	CCL2	TRRUST	10644332|12488502	2	SP1 / CCL2
2785	AR	PIP	TRRUST	21809344	1	AR / PIP
2786	CTNNB1	CLDN2	TFacTs|TRRUST	14751232|14751232	1	CTNNB1 / CLDN2
2787	FOXO4	HIF1A	TRRUST	12761217|20136501	2	FOXO4 / HIF1A
2788	DEK	BCL2	TRRUST	17685435	1	DEK / BCL2
2789	RELA	CD69	TRRUST	10480634	1	RELA / CD69
2790	SP1	AHR	TRRUST	16410262	1	SP1 / AHR
2791	SOX10	MITF	Fastforward|PAZAR|TRRUST	10973953|10938265|10938265|16921166|16494873|10938265|19026785	5	SOX10 / MITF
2792	MYC	TNFRSF8	HTRI	12695333	1	MYC / TNFRSF8
2793	GATA1	ALAS2	TRRUST	23935018	1	GATA1 / ALAS2
2794	MYC	C1QBP	TFacTs	|11983916	2	MYC / C1QBP
2795	KLF4	GPA33	HTRI|TRRUST	19551868|19551868	1	KLF4 / GPA33
2796	IRF1	MYB	Fastforward|TRRUST	10739671|10739671	1	IRF1 / MYB
2797	HIF1A	ZNF217	TRRUST	21483406	1	HIF1A / ZNF217
2798	NFYA	LPIN1	TRRUST	19553673	1	NFYA / LPIN1
2799	TFCP2	NFE2	HTRI	16648487	1	TFCP2 / NFE2
2800	HOXB7	FGF2	TRRUST	21183939|8756643	2	HOXB7 / FGF2
2801	CREB1	EGR1	Fastforward	8704240|8065330|8530445|7608156	4	CREB1 / EGR1
2802	MEN1	RAD51	TRRUST	23648481	1	MEN1 / RAD51
2803	EZH2	CIITA	TRRUST	17911618|21266852	2	EZH2 / CIITA
2804	STAT1	HCFC1	ORegAnno	22951020	1	STAT1 / HCFC1
2805	ELK1	MUC4	TRRUST	19757157	1	ELK1 / MUC4
2806	SOX2	ABCC3	TRRUST	21531766	1	SOX2 / ABCC3
2807	RELA	IL10	TRRUST	19124729	1	RELA / IL10
2808	SP3	HAND1	Fastforward	12527202	1	SP3 / HAND1
2809	NCOA3	PLAC1	TRRUST	24304549	1	NCOA3 / PLAC1
2810	CEBPB	TNFRSF1A	HTRI|ORTI	19523687|	2	CEBPB / TNFRSF1A
2811	RELA	HIF1A	Fastforward|TRRUST	17898080|18498249	2	RELA / HIF1A
2812	HOXC11	S100B	TRRUST	20145129	1	HOXC11 / S100B
2813	HMGA2	POU1F1	TRRUST	22199144	1	HMGA2 / POU1F1
2814	ESR1	PRUNE1	HTRI	19376833	1	ESR1 / PRUNE1
2815	CIITA	HLA-DRB5	TRRUST	10886240	1	CIITA / HLA-DRB5
2816	SP1	CTSL	HTRI|TRRUST	11742542|11742542	1	SP1 / CTSL
2817	OTX2	RBP3	HTRI|TRRUST	10372988|10354480|10372988|18628516	3	OTX2 / RBP3
2818	E2F1	CDKN1A	TFacTs|TRRUST	|10030670|10030670|16923815	3	E2F1 / CDKN1A
2819	ESR2	MED7	HTRI	20034404	1	ESR2 / MED7
2820	LHX3	FSHB	TRRUST	23766128|15271874	2	LHX3 / FSHB
2821	VDR	IL12B	TRRUST	21310195	1	VDR / IL12B
2822	RFXAP	HLA-DQB1	TRRUST	11258423|18723135	2	RFXAP / HLA-DQB1
2823	MYC	TGFB1	HTRI	12695333	1	MYC / TGFB1
2824	ESR1	PWP1	HTRI	20034404	1	ESR1 / PWP1
2825	MYC	LAIR2	HTRI	12747840	1	MYC / LAIR2
2826	PLAGL1	SDHB	TRRUST	19423711	1	PLAGL1 / SDHB
2827	CTCF	EPHB1	ORegAnno	22951020	1	CTCF / EPHB1
2828	NFKB1	CCR3	TRRUST	16604092	1	NFKB1 / CCR3
2829	GATA2	WT1	HTRI|Fastforward|TRRUST	19212333|9361007|19212333	2	GATA2 / WT1
2830	SPI1	PRG2	TRRUST	12202480	1	SPI1 / PRG2
2831	BRCA1	KRT17	TRRUST	19882246	1	BRCA1 / KRT17
2832	CEBPB	PTPN13	TRRUST	11696979	1	CEBPB / PTPN13
2833	NR2C2	LHCGR	TRRUST	11682620	1	NR2C2 / LHCGR
2834	ELK4	NR2C2	TRRUST	21126370	1	ELK4 / NR2C2
2835	ETS1	GP9	TFacTs	|11504709	2	ETS1 / GP9
2836	FOS	NFKB1	TRRUST	20188076	1	FOS / NFKB1
2837	NR4A1	BABAM2	TRRUST	22159226	1	NR4A1 / BABAM2
2838	RARA	CXCR5	HTRI|TRRUST	14993281|14993281	1	RARA / CXCR5
2839	YY1	NARS	ORegAnno	22951020	1	YY1 / NARS
2840	SOX10	SOX10	HTRI	18786246	1	SOX10 / SOX10
2841	PARP1	FBN1	TRRUST	23860323	1	PARP1 / FBN1
2842	HDAC3	EGFR	TRRUST	21464950	1	HDAC3 / EGFR
2843	JARID2	MYL7	TRRUST	18805276	1	JARID2 / MYL7
2844	REL	BIRC3	TRRUST	11880364	1	REL / BIRC3
2845	TBX3	CDKN1A	TRRUST	20624445	1	TBX3 / CDKN1A
2846	SREBF2	PCSK9	TRRUST	17448444|17921436|21123766|22288532	4	SREBF2 / PCSK9
2847	E2F1	RBM38	TRRUST	22798430	1	E2F1 / RBM38
2848	VDR	IL6	TRRUST	11050002	1	VDR / IL6
2849	MYC	RPS15	HTRI	12695333	1	MYC / RPS15
2850	GLI2	IL1R2	TFacTs	|14691458	2	GLI2 / IL1R2
2851	REST	VGF	TRRUST	19118055	1	REST / VGF
2852	KLF6	IGF1R	TRRUST	15131018	1	KLF6 / IGF1R
2853	IRF1	HLA-G	HTRI|TRRUST	11087747|11087747	1	IRF1 / HLA-G
2854	ATF3	ATF3	Fastforward	10748147	1	ATF3 / ATF3
2855	ESR1	JUNB	TRRUST	11477071	1	ESR1 / JUNB
2856	TP53	REEP5	TRRUST	8557038	1	TP53 / REEP5
2857	MEF2D	ATF3	TRRUST	17108111	1	MEF2D / ATF3
2858	BRCA1	HNRNPA2B1	TRRUST	21099359	1	BRCA1 / HNRNPA2B1
2859	HNF4A	CYP2C8	HTRI|TRRUST	20086032|20086032	1	HNF4A / CYP2C8
2860	MYC	ARF4	HTRI	12695333	1	MYC / ARF4
2861	E2F4	KATNAL1	ORegAnno	22951020	1	E2F4 / KATNAL1
2862	HNF1A	CSRP1	TRRUST	18292576	1	HNF1A / CSRP1
2863	TCF4	KLF4	TRRUST	18977346	1	TCF4 / KLF4
2864	EGR1	PDGFA	HTRI	9351401|9242190|7499234	3	EGR1 / PDGFA
2865	MYC	ACP5	HTRI	12695333	1	MYC / ACP5
2866	ID3	TCF3	TRRUST	24492847	1	ID3 / TCF3
2867	PIAS2	MUC1	TRRUST	17717071	1	PIAS2 / MUC1
2868	E2F1	BIRC5	TRRUST	17848598|19102934|23449974	3	E2F1 / BIRC5
2869	TFAP2C	CDKN1A	TRRUST	22371483	1	TFAP2C / CDKN1A
2870	NR1I2	TUBB	HTRI	19129222	1	NR1I2 / TUBB
2871	KLF6	CDKN1A	TRRUST	12740910|18822210|23085750|15172991|22277651	5	KLF6 / CDKN1A
2872	NFKB1	IL4	TRRUST	12516545	1	NFKB1 / IL4
2873	SNIP1	CCND1	TRRUST	17260016	1	SNIP1 / CCND1
2874	NFYB	CDK1	Fastforward	10438472|10514438|7760824	3	NFYB / CDK1
2875	ABL1	FOXO3	TRRUST	15509806	1	ABL1 / FOXO3
2876	ZNF382	HMGA2	TRRUST	20682794	1	ZNF382 / HMGA2
2877	STAT4	IFNG	TRRUST	9558063|9642277	2	STAT4 / IFNG
2878	HEY1	PROX1	TRRUST	22719258	1	HEY1 / PROX1
2879	FOXM1	ESR1	Fastforward|PAZAR	16809346|16809346	1	FOXM1 / ESR1
2880	E2F1	CDKN2C	TFacTs	|12077144	2	E2F1 / CDKN2C
2881	WT1	CAMP	TRRUST	12213901	1	WT1 / CAMP
2882	REST	GJD2	TRRUST	14565956	1	REST / GJD2
2883	DUX4	HEY1	TRRUST	24278031	1	DUX4 / HEY1
2884	RELA	TRIB3	TRRUST	12736262	1	RELA / TRIB3
2885	STAT1	FBXO5	ORegAnno	22951020	1	STAT1 / FBXO5
2886	SREBF2	ACOT7	HTRI|TRRUST	16335799|16335799	1	SREBF2 / ACOT7
2887	STAT3	IL1RN	TRRUST	20032313	1	STAT3 / IL1RN
2888	GATA2	CCM2	ORegAnno	22951020	1	GATA2 / CCM2
2889	SP1	CD99	HTRI|TRRUST	8460398|17473187	2	SP1 / CD99
2890	BRCA1	KRT18	TRRUST	15831101	1	BRCA1 / KRT18
2891	YY1	ADORA2A	TRRUST	20666933	1	YY1 / ADORA2A
2892	HDAC4	PTGS2	TRRUST	18820298	1	HDAC4 / PTGS2
2893	HOXA11	PRL	HTRI	19727442	1	HOXA11 / PRL
2894	CREB1	CD4	TRRUST	9765424	1	CREB1 / CD4
2895	RELA	HLA-F	TRRUST	11137213	1	RELA / HLA-F
2896	HIPK2	TP53	TRRUST	12851404	1	HIPK2 / TP53
2897	GATA3	RAPGEF3	HTRI	19559773	1	GATA3 / RAPGEF3
2898	SP1	TBX21	Fastforward|TRRUST	17705132|17075044	2	SP1 / TBX21
2899	HIF1A	TLR2	TRRUST	18159247	1	HIF1A / TLR2
2900	NR1H3	FBP1	TFacTs	|19258656	2	NR1H3 / FBP1
2901	PRDM1	SPIB	Fastforward	12150891	1	PRDM1 / SPIB
2902	NFATC2	MDM2	TRRUST	22787160	1	NFATC2 / MDM2
2903	HOXA1	STAT5B	Fastforward	18276758	1	HOXA1 / STAT5B
2904	STAT1	IRF1	HTRI|Fastforward|PAZAR|TRRUST	8647845|11390454|9312047|7678055|9336467|10068671|10358173|14993214|8168491|9373245|8621447|7678055|18497060|18694960|8647845|22002246|10068671|10764778|12077266|18401423|24478085	18	STAT1 / IRF1
2905	POU1F1	PRL	TRRUST	16879162|7529501|11081207|11874696|17240357|17933456|19808898|7877625|9207961|9822660	10	POU1F1 / PRL
2906	RARG	FOLR2	HTRI	12543860	1	RARG / FOLR2
2907	RREB1	SLC39A3	TRRUST	21613827	1	RREB1 / SLC39A3
2908	TP53	DDB2	Fastforward|TRRUST	11971958|16357511|12771027|12967652|15856024|15927209|22336944	7	TP53 / DDB2
2909	E2F1	LACTB	HTRI	12629508	1	E2F1 / LACTB
2910	MEF2A	MAPK14	TRRUST	18073218	1	MEF2A / MAPK14
2911	SP1	FOXM1	TRRUST	20372080	1	SP1 / FOXM1
2912	HSF1	NFKB1	TRRUST	18689673	1	HSF1 / NFKB1
2913	POU5F1	DKK1	TRRUST	17068183	1	POU5F1 / DKK1
2914	NFYB	SP1	Fastforward	12513689	1	NFYB / SP1
2915	CREBBP	HINFP	TRRUST	17826007	1	CREBBP / HINFP
2916	E2F1	B4GALT1	TFacTs	|20538716	2	E2F1 / B4GALT1
2917	RXRA	HNF4A	Fastforward|TRRUST	11585914|11027556	2	RXRA / HNF4A
2918	AIP	TFF1	TRRUST	21984905	1	AIP / TFF1
2919	KLF3	CKM	TRRUST	20404088	1	KLF3 / CKM
2920	EGR1	SPRY1	TRRUST	21826097	1	EGR1 / SPRY1
2921	REL	CRP	HTRI|TRRUST	18684932|18684932	1	REL / CRP
2922	ZNF362	CDKN2A	HTRI	19340300	1	ZNF362 / CDKN2A
2923	PRDM1	MKI67	TRRUST	20530581	1	PRDM1 / MKI67
2924	CEBPB	ALOX5AP	HTRI|ORTI	12571239|	2	CEBPB / ALOX5AP
2925	HIF1A	PLAU	TRRUST	14567996	1	HIF1A / PLAU
2926	TCF7L2	DKK1	TFacTs	pmid: 15592430|pmid: 15592505	2	TCF7L2 / DKK1
2927	SP1	SOD2	TRRUST	11853549|18779124|23500038	3	SP1 / SOD2
2928	TWIST1	AKR1C2	TRRUST	19051271	1	TWIST1 / AKR1C2
2929	BRCA1	DDIT3	TRRUST	21700680	1	BRCA1 / DDIT3
2930	AR	KISS1	TRRUST	18331266	1	AR / KISS1
2931	YY1	BRCA1	TRRUST	21666725	1	YY1 / BRCA1
2932	TCF4	PTEN	TRRUST	21132538	1	TCF4 / PTEN
2933	FOXM1	CDKN2A	TRRUST	22461910	1	FOXM1 / CDKN2A
2934	HDAC7	MEF2C	TRRUST	11585834	1	HDAC7 / MEF2C
2935	NFKB2	CCL21	TRRUST	20953353	1	NFKB2 / CCL21
2936	HMGA1	CDH1	TRRUST	22276142	1	HMGA1 / CDH1
2937	FOS	FAS	TRRUST	10903433	1	FOS / FAS
2938	CTCF	ESRP2	ORegAnno	22951020	1	CTCF / ESRP2
2939	CREM	CCNA2	TRRUST	9280058	1	CREM / CCNA2
2940	CTNNB1	TNFRSF11B	TFacTs	pmid: 18676739	1	CTNNB1 / TNFRSF11B
2941	MYC	PLA2G4A	HTRI	12695333	1	MYC / PLA2G4A
2942	CTCF	HAUS7	ORegAnno	22951020	1	CTCF / HAUS7
2943	CDX2	ELMO3	TRRUST	20127720	1	CDX2 / ELMO3
2944	SOX4	NCAM1	TRRUST	20049565	1	SOX4 / NCAM1
2945	RELA	TRAF2	TRRUST	15041463|15723831|19392652	3	RELA / TRAF2
2946	NFIL3	PGR	TRRUST	1620116	1	NFIL3 / PGR
2947	GATA4	HAMP	TRRUST	21609320	1	GATA4 / HAMP
2948	MYC	KLF1	HTRI	12695333	1	MYC / KLF1
2949	KLF8	SLC22A3	TRRUST	17671186	1	KLF8 / SLC22A3
2950	TP53	ZSCAN25	HTRI	16980608	1	TP53 / ZSCAN25
2951	DR1	PTGS2	TRRUST	11840453	1	DR1 / PTGS2
2952	MYCN	BAX	TRRUST	19885598	1	MYCN / BAX
2953	PARP1	RELA	TRRUST	16026317	1	PARP1 / RELA
2954	CREG1	HSPA4	TRRUST	9710587	1	CREG1 / HSPA4
2955	SP1	FES	TRRUST	8657143	1	SP1 / FES
2956	GATA4	NPPA	TRRUST	14573514	1	GATA4 / NPPA
2957	NFIC	HGF	TRRUST	10860846	1	NFIC / HGF
2958	HDAC1	E2F1	TRRUST	9724731	1	HDAC1 / E2F1
2959	JUND	NOS2	TRRUST	12788789	1	JUND / NOS2
2960	SREBF1	FDPS	TFacTs|TRRUST	|9651391|8798690	3	SREBF1 / FDPS
2961	NPM1	MDM2	TRRUST	23393136	1	NPM1 / MDM2
2962	FOXO3	IFI27	HTRI	17522055	1	FOXO3 / IFI27
2963	MYCN	ABCC1	TRRUST	10348353|14737110|7923112|9516823	4	MYCN / ABCC1
2964	FLI1	CCK	TRRUST	17438102	1	FLI1 / CCK
2965	HNF1A	UGT1A10	HTRI|TRRUST	15044625|15044625	1	HNF1A / UGT1A10
2966	ESR1	FOXP1	TRRUST	21901488	1	ESR1 / FOXP1
2967	GATA1	GP1BB	TRRUST	8703016|11418466	2	GATA1 / GP1BB
2968	NR1I2	MAP3K20	HTRI	19129222	1	NR1I2 / MAP3K20
2969	CDX2	CLDN2	TFacTs	11934881	1	CDX2 / CLDN2
2970	NPM1	CDKN1A	TRRUST	19221506	1	NPM1 / CDKN1A
2971	TFAP2A	HOXA4	TRRUST	8759021	1	TFAP2A / HOXA4
2972	RUNX3	CASP3	TRRUST	15930301|19290488	2	RUNX3 / CASP3
2973	SP1	MMP14	TRRUST	15592504|10721699|17534446	3	SP1 / MMP14
2974	SNAI2	MMP9	TRRUST	22074556	1	SNAI2 / MMP9
2975	E2F1	PLK3	TFacTs	|18439978	2	E2F1 / PLK3
2976	NR1I2	FGF19	TRRUST	17696253	1	NR1I2 / FGF19
2977	ETS1	FLI1	TRRUST	19829305	1	ETS1 / FLI1
2978	ZHX2	AFP	TRRUST	23837980	1	ZHX2 / AFP
2979	TIAL1	PF4	HTRI|TRRUST	9207209|9207209	1	TIAL1 / PF4
2980	E2F5	FSHR	TRRUST	11883315	1	E2F5 / FSHR
2981	FOS	NEFL	TRRUST	8180132	1	FOS / NEFL
2982	IRF7	IFNL1	TRRUST	17785777	1	IRF7 / IFNL1
2983	PITX2	WNT5A	TRRUST	23250740	1	PITX2 / WNT5A
2984	PRDM1	MYC	TRRUST	10713181|12032779	2	PRDM1 / MYC
2985	TFAP4	MUC4	TRRUST	11418607	1	TFAP4 / MUC4
2986	NCOR2	NR1I2	TRRUST	16219912	1	NCOR2 / NR1I2
2987	HEY2	ACTA2	TRRUST	18239137	1	HEY2 / ACTA2
2988	CTNNB1	IGFBP6	TFacTs	pmid: 14737101	1	CTNNB1 / IGFBP6
2989	YY1	CETP	HTRI|TFacTs|TRRUST	10393213||10393213|10393213	2	YY1 / CETP
2990	NFYA	FAS	TRRUST	9261184	1	NFYA / FAS
2991	THRB	CGA	HTRI|TRRUST	2480596|9709914|2480596|9709914	2	THRB / CGA
2992	YY1	PEG3	TRRUST	18458536	1	YY1 / PEG3
2993	MYC	EP300	TRRUST	12776737	1	MYC / EP300
2994	REL	CD74	HTRI	8164652	1	REL / CD74
2995	RELB	CD40	TRRUST	11027342	1	RELB / CD40
2996	MYC	CASP9	HTRI	12695333	1	MYC / CASP9
2997	MECP2	GAD1	TRRUST	19029285	1	MECP2 / GAD1
2998	ELK1	ERBB2	TRRUST	7914192	1	ELK1 / ERBB2
2999	THRA	CGA	HTRI|TRRUST	9709914|9709914	1	THRA / CGA
3000	TWIST2	ILK	TRRUST	19051271	1	TWIST2 / ILK
3001	ZNF24	CCND1	TRRUST	22213192	1	ZNF24 / CCND1
3002	YY1	HLA-DRA	TRRUST	11533238|19252299	2	YY1 / HLA-DRA
3003	HDAC11	TNF	TRRUST	21239696	1	HDAC11 / TNF
3004	CTNNB1	FGF18	TFacTs	14559787	1	CTNNB1 / FGF18
3005	EGR1	CD28	TRRUST	10510368	1	EGR1 / CD28
3006	KAT2B	CYP1B1	TRRUST	20631054	1	KAT2B / CYP1B1
3007	GLI2	CDKN1A	TFacTs	|14691458	2	GLI2 / CDKN1A
3008	TBX21	GATA3	TRRUST	17075044	1	TBX21 / GATA3
3009	TCF7L2	SNAI2	TRRUST	20128911	1	TCF7L2 / SNAI2
3010	RUVBL1	TP53	TRRUST	21617703	1	RUVBL1 / TP53
3011	ERG	VIM	TRRUST	8895512	1	ERG / VIM
3012	ETS1	MUC4	TRRUST	19757157	1	ETS1 / MUC4
3013	ATF2	DUSP10	TRRUST	17681939	1	ATF2 / DUSP10
3014	HDAC1	TNFRSF10A	TRRUST	18408217	1	HDAC1 / TNFRSF10A
3015	FOXD3	RARB	TRRUST	23058321	1	FOXD3 / RARB
3016	NR1I2	PTAFR	TRRUST	19703903	1	NR1I2 / PTAFR
3017	TAL1	MYB	TRRUST	22897851	1	TAL1 / MYB
3018	RELA	PTHLH	TRRUST	17554373	1	RELA / PTHLH
3019	ABL1	BCL2	TRRUST	11753601	1	ABL1 / BCL2
3020	EP300	CREBBP	TRRUST	9651310	1	EP300 / CREBBP
3021	TFAP2A	BCL2	HTRI|TRRUST	12391156|16533807	2	TFAP2A / BCL2
3022	TP53	NLRC4	TRRUST	15580302	1	TP53 / NLRC4
3023	NFKB1	IFNA1	TRRUST	8035474|15331713	2	NFKB1 / IFNA1
3024	POU3F1	EGR2	Fastforward	16311519	1	POU3F1 / EGR2
3025	PER2	TWIST1	TRRUST	23836662	1	PER2 / TWIST1
3026	SP3	CFTR	TRRUST	16877677	1	SP3 / CFTR
3027	STAT5A	CEL	TRRUST	9841868	1	STAT5A / CEL
3028	USF1	APC	Fastforward|TRRUST	11279192|11241666|11241666	2	USF1 / APC
3029	HIF1A	LEP	TRRUST	18559540|19080496	2	HIF1A / LEP
3030	IRF7	IFNL2	TRRUST	17785777	1	IRF7 / IFNL2
3031	VDR	BHLHE40	TRRUST	23220548	1	VDR / BHLHE40
3032	ESR1	ITGB7	HTRI	20034404	1	ESR1 / ITGB7
3033	STAT3	SAA1	TRRUST	16236134|23391827	2	STAT3 / SAA1
3034	SPI1	ACP5	TRRUST	11481336	1	SPI1 / ACP5
3035	AIRE	CHRNA1	TRRUST	17687331	1	AIRE / CHRNA1
3036	ARNT	MFSD2A	TRRUST	21736709	1	ARNT / MFSD2A
3037	SIRT1	LIN28A	TRRUST	24631505	1	SIRT1 / LIN28A
3038	NFKB1	VEGFD	TRRUST	18941249	1	NFKB1 / VEGFD
3039	MYCN	PPP2R2C	HTRI	16093321	1	MYCN / PPP2R2C
3040	DR1	TBP	TRRUST	16858867|8670811	2	DR1 / TBP
3041	YY1	APH1A	TFacTs|TRRUST	|21443683|21443683	2	YY1 / APH1A
3042	POU5F1	GADD45A	TRRUST	11704867	1	POU5F1 / GADD45A
3043	SP1	PGR	HTRI|Fastforward|TRRUST	10894148|10894148|10894148	1	SP1 / PGR
3044	SP3	EAPP	HTRI|TRRUST	18588995|18588995	1	SP3 / EAPP
3045	ESR2	INSR	TRRUST	22099628	1	ESR2 / INSR
3046	CHD4	RNF8	TRRUST	22531782	1	CHD4 / RNF8
3047	ARNT	EGLN2	TRRUST	15178343	1	ARNT / EGLN2
3048	FOS	CHGB	HTRI	20359597	1	FOS / CHGB
3049	MYC	ICAM1	HTRI	12695333	1	MYC / ICAM1
3050	STAT3	CD274	HTRI	19088198	1	STAT3 / CD274
3051	E2F6	H19	TFacTs	|15985428	2	E2F6 / H19
3052	POU2F1	MS4A2	HTRI	12697656	1	POU2F1 / MS4A2
3053	PAX2	ERBB2	TRRUST	10991938	1	PAX2 / ERBB2
3054	E2F3	TOPBP1	TFacTs	|15195143	2	E2F3 / TOPBP1
3055	TP63	MARK3	HTRI|PAZAR	17521434|17521434	1	TP63 / MARK3
3056	TFAP2B	DRD1	TRRUST	10640692	1	TFAP2B / DRD1
3057	GLI1	EGR2	TRRUST	18924150	1	GLI1 / EGR2
3058	RELA	MMP14	TRRUST	19303700|21627988	2	RELA / MMP14
3059	SMAD4	COL7A1	TFacTs|TRRUST	9582342|9843964	2	SMAD4 / COL7A1
3060	RELA	CCL3	TRRUST	16982926|11342414|17707233	3	RELA / CCL3
3061	RB1	EBNA1BP2	TRRUST	22169551	1	RB1 / EBNA1BP2
3062	TFAP2C	ECM1	TRRUST	17187826|24023917	2	TFAP2C / ECM1
3063	GATA3	MYRIP	HTRI	19559773	1	GATA3 / MYRIP
3064	JUND	RHOH	HTRI	21473742	1	JUND / RHOH
3065	NFKB1	CD3G	TRRUST	16219537	1	NFKB1 / CD3G
3066	CEBPB	ST6GAL1	TFacTs	1737800	1	CEBPB / ST6GAL1
3067	RELA	TAP1	TRRUST	18694960	1	RELA / TAP1
3068	ESR2	WFDC2	HTRI	20034404	1	ESR2 / WFDC2
3069	GATA2	CCRL2	ORegAnno	22951020	1	GATA2 / CCRL2
3070	EGR1	IMPDH2	TRRUST	7896827	1	EGR1 / IMPDH2
3071	STAT3	GREB1	TRRUST	23056300	1	STAT3 / GREB1
3072	NCOR1	AR	TRRUST	21720703|16373395	2	NCOR1 / AR
3073	STAT1	ZNF367	ORegAnno	22951020	1	STAT1 / ZNF367
3074	GTF3A	DBH	PAZAR	9763470	1	GTF3A / DBH
3075	NFIC	JUN	Fastforward|TRRUST	3142689|8355696|10403485	3	NFIC / JUN
3076	STAT5B	CCND1	TRRUST	14645506	1	STAT5B / CCND1
3077	ETV7	ETS2	TRRUST	22615925	1	ETV7 / ETS2
3078	XBP1	HSPA5	TRRUST	14718536|20170659|12713871	3	XBP1 / HSPA5
3079	HIF1A	PPP1R3C	TRRUST	20888814	1	HIF1A / PPP1R3C
3080	EP300	EIF2AK1	TRRUST	19133234	1	EP300 / EIF2AK1
3081	KLF2	SELL	TRRUST	20146713	1	KLF2 / SELL
3082	BMI1	TERT	TRRUST	19903340	1	BMI1 / TERT
3083	RUNX1	NF1	TRRUST	15988004	1	RUNX1 / NF1
3084	RORA	RARB	Fastforward	8702678	1	RORA / RARB
3085	HDAC1	ABCB1	TRRUST	19435809|20037778	2	HDAC1 / ABCB1
3086	PGR	KLK4	TRRUST	19147544	1	PGR / KLK4
3087	WT1	CD14	TRRUST	9484784	1	WT1 / CD14
3088	CDX2	REG4	TRRUST	23133598	1	CDX2 / REG4
3089	CEBPA	LTF	HTRI	12522000	1	CEBPA / LTF
3090	STAT1	ELP3	ORegAnno	22951020	1	STAT1 / ELP3
3091	GATA1	PF4	TRRUST	12609849	1	GATA1 / PF4
3092	REST	GABRB3	TRRUST	22765836	1	REST / GABRB3
3093	ID1	NEUROD1	Fastforward	12526101	1	ID1 / NEUROD1
3094	STAT1	IFNA1	TRRUST	18616672|17050680	2	STAT1 / IFNA1
3095	GATA2	F2RL3	ORegAnno	22951020	1	GATA2 / F2RL3
